RepID,Drought or Watered,Genotype,SoilLocation,SoilHabitat,Block,Germination,GerminationDate,Harvest Date,Timepoint,Height_Jan29,Height_Feb5,Height_Feb12,Height_Feb19,GrowthRate1,GrowthRate2,GrowthRate3,GrowthRate4,AvgGrowthRate,CCI_Feb3,CCI_Feb17,FirstFreshRootWeight,FirstDryRootWeight,RootMassRate1,FirstDryShootWeight,ShootMassRate1,SecondFreshRootWeight,SecondDryRootWeight,RootMassRate2,SecondDryShootWeight,ShootMassRate2,ThirdFreshRootWeight,ThirdDryShootWeight,ThirdDryRootWeight,RootMassRate,ShootMassRate,TotalMassRate,RootShootRatio
113,D,B73,SVR,Agriculture,E,Y,1/24/2020,3/4/2020,late,8.5,13,16.75,19.75,1.416666667,1,0.8375,0.731481481,0.996412037,14.9,6.7,,,,,,,,,,,1.04,0.213,0.205,0.005125,0.005325,0.01045,0.962441315
114,W,B73,SVR,Agriculture,E,Y,1/27/2020,2/24/2020,middle,5.25,19.25,33.5,39,1.75,1.925,1.970588235,1.625,1.817647059,23.8,9,,,,,,2.56,0.482,0.017214286,0.294,0.0105,,,,0.017214286,0.0105,0.027714286,1.63945581
115,D,Mo17,SVR,Agriculture,E,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
116,W,Mo17,SVR,Agriculture,E,Y,1/29/2020,3/4/2020,late,3,16,29.25,32.25,3,2,1.95,1.465909091,2.103977273,10.2,9.1,,,,,,,,,,,2.13,0.476,0.334,0.009542857,0.0136,0.023142857,0.701680672
117,D,B73,SVR,Native,E,Y,1/24/2020,2/10/2020,early,7.5,11.75,,,1.25,0.903846154,,,1.076923077,1,,0.69,0.26,0.015294118,0.04,0.002352941,,,,,,,,,0.015294118,0.002352941,0.017647059,6.500000638
118,W,B73,SVR,Native,E,Y,1/27/2020,3/4/2020,late,8,20.75,32.5,35,2.666666667,2.075,1.911764706,1.458333333,2.027941176,16.3,7.4,,,,,,,,,,,1.98,0.55,0.322,0.008702703,0.014864865,0.023567568,0.585454545
119,D,Mo17,SVR,Native,E,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
120,W,Mo17,SVR,Native,E,Y,1/27/2020,2/10/2020,early,5.5,14.5,,,1.833333333,1.45,,,1.641666667,8.6,7.3,2.61,0.31,0.022142857,0.11,0.007857143,,,,,,,,,0.022142857,0.007857143,0.03,2.818181749
121,D,B73,TLI,Agriculture,E,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
122,W,B73,TLI,Agriculture,E,Y,1/27/2020,3/4/2020,late,7.25,19,32,33,2.416666667,1.9,1.882352941,1.375,1.893504902,7.3,8.3,,,,,,,,,,,2.53,0.496,0.357,0.009648649,0.013405405,0.023054054,0.719758065
123,D,Mo17,TLI,Agriculture,E,Y,1/27/2020,3/4/2020,late,5,12.75,17.5,19.75,1.666666667,1.275,1.029411765,0.822916667,1.198498775,15.7,11,,,,,,,,,,,1.09,0.174,0.188250083,0.00508784,0.004702703,0.009790543,1.081897027
124,W,Mo17,TLI,Agriculture,E,Y,1/27/2020,3/4/2020,late,5,14,26.25,31.75,1.666666667,1.4,1.544117647,1.322916667,1.483425245,8.2,6.6,,,,,,,,,,,1.95,0.411,0.336777671,0.009102099,0.011108108,0.020210207,0.819410391
125,D,B73,TLI,Native,E,Y,1/27/2020,3/4/2020,late,3.25,6.25,11.5,17,1.083333333,0.625,0.676470588,0.708333333,0.773284314,3.3,19.5,,,,,,,,,,,0.91,0.119,0.089,0.002405405,0.003216216,0.005621622,0.74789916
126,W,B73,TLI,Native,E,Y,1/27/2020,3/4/2020,late,5.5,12.5,22.25,23.5,1.833333333,1.25,1.308823529,0.979166667,1.342830882,11.1,11.6,,,,,,,,,,,1.78,0.337,0.254,0.006864865,0.009108108,0.015972973,0.753709199
127,D,Mo17,TLI,Native,E,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
128,W,Mo17,TLI,Native,E,Y,1/27/2020,3/4/2020,late,3.75,16.75,28,31.5,1.25,1.675,1.647058824,1.3125,1.471139706,2.7,8.9,,,,,,,,,,,1.99,0.329,0.266,0.007189189,0.008891892,0.016081081,0.808510638
129,D,B73,KNZ,Native,E,Y,1/24/2020,3/4/2020,late,7.75,14,16.25,19,1.291666667,1.076923077,0.8125,0.703703704,0.971198362,1.6,10.4,,,,,,,,,,,1.17,0.255,0.223,0.005575,0.006375,0.01195,0.874509804
130,W,B73,KNZ,Native,E,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
131,D,Mo17,KNZ,Native,E,Y,1/31/2020,3/4/2020,late,,9.5,12.75,15.25,,1.583333333,0.980769231,0.7625,1.108867521,,11.2,,,,,,,,,,,0.85,0.139,0.106,0.003212121,0.004212121,0.007424242,0.762589928
132,W,Mo17,KNZ,Native,E,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
133,D,B73,HAY,Native,E,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
134,W,B73,HAY,Native,E,Y,1/24/2020,3/4/2020,late,8.75,22.75,36,37.5,1.458333333,1.75,1.8,1.388888889,1.599305556,,12.4,,,,,,,,,,,2.06,0.531,0.313,0.007825,0.013275,0.0211,0.589453861
135,D,Mo17,HAY,Native,E,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
136,W,Mo17,HAY,Native,E,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
137,D,B73,KNZ,Native,E,Y,1/24/2020,3/4/2020,late,8.25,13.75,14.25,19,1.375,1.057692308,0.7125,0.703703704,0.962224003,1.8,7.2,,,,,,,,,,,1.26,0.251,0.179,0.004475,0.006275,0.01075,0.71314741
138,W,Mo17,KNZ,Native,E,Y,1/29/2020,2/10/2020,early,1,11.25,,,1,1.40625,,,1.203125,20.6,,1.61,0.386078,0.032173167,0.06,0.005,,,,,,,,,0.032173167,0.005,0.037173167,6.4346334
139,D,Mo17,Control,Control,E,N,1/27/2020,,,3.75,3.75,4,,,,,,,,,,,,,,,,,,,,,,,,0,
140,W,Mo17,SVR,Agriculture,E,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
141,D,B73,SVR,Agriculture,F,Y,1/24/2020,3/4/2020,late,9.25,15.5,19.75,26,1.541666667,1.192307692,0.9875,0.962962963,1.17110933,43.1,6.7,,,,,,,,,,,1.31,0.262,0.249,0.006225,0.00655,0.012775,0.950381679
142,W,B73,SVR,Agriculture,F,Y,1/27/2020,2/10/2020,early,6.25,16.75,,,2.083333333,1.675,,,1.879166667,5.2,,1.48,0.12,0.008571429,0.1,0.007142857,,,,,,,,,0.008571429,0.007142857,0.015714286,1.200000084
143,D,Mo17,SVR,Agriculture,F,Y,1/27/2020,3/4/2020,late,6.75,7.25,9.5,15.75,2.25,0.725,0.558823529,0.65625,1.047518382,1.8,8,,,,,,,,,,,1.3,0.154,0.147,0.003972973,0.004162162,0.008135135,0.954545455
144,W,Mo17,SVR,Agriculture,F,Y,1/27/2020,2/10/2020,early,10,26.5,,,3.333333333,2.65,,,2.991666667,17.5,,2.9,0.69542,0.049672857,0.21,0.015,,,,,,,,,0.049672857,0.015,0.064672857,3.3115238
145,D,B73,SVR,Native,F,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
146,W,B73,SVR,Native,F,Y,1/27/2020,3/4/2020,late,10,22.25,32.5,34,3.333333333,2.225,1.911764706,1.416666667,2.221691176,9.2,10,,,,,,,,,,,1.95,0.534,0.259,0.007,0.014432432,0.021432432,0.485018727
147,D,Mo17,SVR,Native,F,Y,1/27/2020,2/10/2020,early,5.25,5.5,,,1.75,0.55,,,1.15,1.7,,1.01,0.28,0.02,0.03,0.002142857,,,,,,,,,0.02,0.002142857,0.022142857,9.333333956
148,W,Mo17,SVR,Native,F,Y,1/27/2020,3/4/2020,late,6.25,16.25,28.5,32.75,2.083333333,1.625,1.676470588,1.364583333,1.687346814,11.3,9.3,,,,,,,,,,,2.48,0.404,0.428312115,0.011576003,0.010918919,0.022494922,1.060178502
149,D,B73,TLI,Agriculture,F,Y,1/27/2020,3/4/2020,late,7.75,8.25,14.75,21.75,2.583333333,0.825,0.867647059,0.90625,1.295557598,1.1,26.2,,,,,,,,,,,1.22,0.257,0.214,0.005783784,0.006945946,0.01272973,0.832684825
150,W,B73,TLI,Agriculture,F,Y,1/27/2020,2/10/2020,early,8,20.25,,,2.666666667,2.025,,,2.345833333,17.9,,1.67,0.21,0.015,0.12,0.008571429,,,,,,,,,0.015,0.008571429,0.023571429,1.749999913
151,D,Mo17,TLI,Agriculture,F,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
152,W,Mo17,TLI,Agriculture,F,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
153,D,B73,TLI,Native,F,Y,1/27/2020,3/4/2020,late,4,12.75,19,27.75,1.333333333,1.275,1.117647059,1.15625,1.220557598,4.9,9.6,,,,,,,,,,,0.88,0.258,0.151981718,0.004107614,0.006972973,0.011080587,0.589076427
154,W,B73,TLI,Native,F,Y,1/27/2020,3/4/2020,late,7.5,19.5,31,33.25,2.5,1.95,1.823529412,1.385416667,1.91473652,16.7,15.6,,,,,,,,,,,2.3,0.524,0.266,0.007189189,0.014162162,0.007189189,
155,D,Mo17,TLI,Native,F,Y,1/27/2020,2/24/2020,middle,7.75,10,18.75,22,2.583333333,1,1.102941176,0.916666667,1.400735294,1.6,6.3,,,,,,1.59,0.332,0.011857143,0.157,0.005607143,,,,0.011857143,0.005607143,0.017464286,2.114649653
156,W,Mo17,TLI,Native,F,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
157,D,B73,KNZ,Native,F,Y,1/24/2020,2/10/2020,early,8,14.5,,,1.333333333,1.115384615,,,1.224358974,1.1,10.2,0.6,0.21,0.012352941,0.06,0.003529412,,,,,,,,,0.012352941,0.003529412,0.015882353,3.499999717
158,W,B73,KNZ,Native,F,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
159,D,Mo17,KNZ,Native,F,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
160,W,Mo17,KNZ,Native,F,Y,1/27/2020,2/24/2020,middle,4.75,18.5,30.5,35,1.583333333,1.85,1.794117647,1.458333333,1.671446078,10.2,8.3,,,,,,2.61,0.472,0.016857143,0.264,0.009428571,,,,0.016857143,0.009428571,0.026285714,1.787878884
161,D,B73,HAY,Native,F,Y,1/27/2020,3/4/2020,late,6.75,9.5,14.5,20.75,2.25,0.95,0.852941176,0.864583333,1.229381127,1.1,9.4,,,,,,,,,,,1.14,0.202,0.248,0.006702703,0.005459459,0.012162162,1.227722772
162,W,B73,HAY,Native,F,Y,1/24/2020,2/10/2020,early,9,18.5,,,1.5,1.423076923,,,1.461538462,4.9,,1.53,0.19,0.011176471,0.15,0.008823529,,,,,,,,,0.011176471,0.008823529,0.02,1.266666772
163,D,Mo17,HAY,Native,F,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
164,W,Mo17,HAY,Native,F,Y,1/27/2020,3/4/2020,late,6.5,19.5,27.75,32,2.166666667,1.95,1.632352941,1.333333333,1.770588235,11.1,11.1,,,,,,,,,,,2.43,0.432,0.343,0.00927027,0.011675676,0.020945946,0.793981481
165,D,Mo17,SVR,Agriculture,F,Y,1/27/2020,2/10/2020,early,5.5,10.75,,,1.833333333,1.075,,,1.454166667,13.8,,1.03,0.246994,0.017642429,0.06,0.004285714,,,,,,,,,0.017642429,0.004285714,0.021928143,4.116567041
166,W,B73,Control,Control,F,Y,1/24/2020,3/4/2020,late,8.5,19,32,35.5,1.416666667,1.461538462,1.6,1.314814815,1.448254986,17.5,11.1,,,,,,,,,,,2.14,0.587,0.32,0.008,0.014675,0.022675,0.545144804
167,D,B73,SVR,Agriculture,F,Y,1/24/2020,3/4/2020,late,7.25,10,13,20.5,1.208333333,0.769230769,0.65,0.759259259,0.84670584,2.1,7,,,,,,,,,,,1.18,0.23,0.266,0.00665,0.00575,0.0124,1.156521739
168,W,B73,SVR,Agriculture,F,Y,1/24/2020,3/4/2020,late,8,19.75,29.75,32,1.333333333,1.519230769,1.4875,1.185185185,1.381312322,19.4,9.4,,,,,,,,,,,1.98,0.443,0.342,0.00855,0.011075,0.019625,0.772009029
169,D,B73,SVR,Agriculture,G,N,1/31/2020,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,
170,W,B73,SVR,Agriculture,G,Y,1/27/2020,2/24/2020,middle,7.75,21.5,34.5,35.75,2.583333333,2.15,2.029411765,1.489583333,2.063082108,8.1,11.6,,,,,,2.22,0.36,0.012857143,0.394,0.014071429,,,,0.012857143,0.014071429,0.026928572,0.913705566
171,D,Mo17,SVR,Agriculture,G,Y,1/27/2020,3/4/2020,late,3,7.5,13.25,19.5,1,0.75,0.779411765,0.8125,0.835477941,1.8,17.6,,,,,,,,,,,1.41,0.188,0.243516162,0.006581518,0.005081081,0.011662599,1.295298734
172,W,Mo17,SVR,Agriculture,G,Y,1/27/2020,3/4/2020,late,5,14,26,32,1.666666667,1.4,1.529411765,1.333333333,1.482352941,6.3,6.6,,,,,,,,,,,2.31,0.458,0.299,0.008081081,0.012378378,0.020459459,0.652838428
173,D,B73,SVR,Native,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
174,W,B73,SVR,Native,G,Y,1/24/2020,2/24/2020,middle,9.25,23.5,35,36.5,1.541666667,1.807692308,1.75,1.351851852,1.612802707,18.1,12.3,,,,,,2.4,0.345,0.011129032,0.327,0.010548387,,,,0.011129032,0.010548387,0.021677419,1.055045857
175,D,Mo17,SVR,Native,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
176,W,Mo17,SVR,Native,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
177,D,B73,TLI,Agriculture,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
178,W,B73,TLI,Agriculture,G,Y,1/27/2020,3/4/2020,late,7.5,20.25,34,34.5,2.5,2.025,2,1.4375,1.990625,24.5,6.4,,,,,,,,,,,2.51,0.608,0.311,0.008405405,0.016432432,0.024837838,0.511513158
179,D,Mo17,TLI,Agriculture,G,Y,1/27/2020,3/4/2020,late,5.25,13.25,18.25,23.25,1.75,1.325,1.073529412,0.96875,1.279319853,9.8,22.7,,,,,,,,,,,1.19,0.182,0.205520732,0.005554614,0.004918919,0.010473533,1.129234794
180,W,Mo17,TLI,Agriculture,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
181,D,B73,TLI,Native,G,Y,1/24/2020,3/4/2020,late,8.5,18.5,19.5,25.5,1.416666667,1.423076923,0.975,0.944444444,1.189797009,15.1,10.8,,,,,,,,,,,1.19,0.256,0.215,0.005375,0.0064,0.011775,0.83984375
182,W,B73,TLI,Native,G,Y,1/27/2020,3/4/2020,late,6,18.5,29.5,30.5,2,1.85,1.735294118,1.270833333,1.714031863,15.7,4.5,,,,,,,,,,,1.91,0.389,0.297,0.008027027,0.010513514,0.018540541,0.763496144
183,D,Mo17,TLI,Native,G,Y,1/27/2020,2/24/2020,middle,5,10.25,17,25,1.666666667,1.025,1,1.041666667,1.183333333,13.6,11.1,,,,,,1.61,0.233,0.008321429,0.123,0.004392857,,,,0.008321429,0.004392857,0.012714286,1.894309102
184,W,Mo17,TLI,Native,G,Y,1/27/2020,3/4/2020,late,6,18,22,33,2,1.8,1.294117647,1.375,1.617279412,8.9,16.3,,,,,,,,,,,2.61,0.494,0.450763959,0.01218281,0.013351351,0.025534161,0.91247765
185,D,B73,KNZ,Native,G,Y,1/27/2020,3/4/2020,late,7.5,11.5,16.5,23.25,2.5,1.15,0.970588235,0.96875,1.397334559,13.2,1.3,,,,,,,,,,,1.48,0.287,0.255605617,0.00690826,0.007756757,0.014665017,0.890611905
186,W,B73,KNZ,Native,G,Y,1/24/2020,3/4/2020,late,9,21.5,31.5,34.5,1.5,1.653846154,1.575,1.277777778,1.501655983,21.4,5.1,,,,,,,,,,,2.26,0.512,0.390316685,0.009757917,0.0128,0.022557917,0.762337276
187,D,Mo17,KNZ,Native,G,Y,1/27/2020,3/4/2020,late,5.25,7.5,14,19,1.75,0.75,0.823529412,0.791666667,1.02879902,4.6,10.1,,,,,,,,,,,1.71,0.246,0.295328111,0.007981841,0.006648649,0.014630489,1.200520778
188,W,Mo17,KNZ,Native,G,Y,1/29/2020,3/4/2020,late,1.5,13,18,27.5,1.5,1.625,1.2,1.25,1.39375,13.6,7.1,,,,,,,,,,,1.62,0.319,0.279784526,0.007993844,0.009114286,0.017108129,0.877067481
189,D,B73,HAY,Native,G,Y,1/27/2020,3/4/2020,late,6,8.5,14,22.5,2,0.85,0.823529412,0.9375,1.152757353,1.1,5.5,,,,,,,,,,,1.15,0.265,0.238,0.006432432,0.007162162,0.013594595,0.898113208
190,W,B73,HAY,Native,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
191,D,Mo17,HAY,Native,G,Y,1/27/2020,3/4/2020,late,4.25,4.5,5.5,7.5,1.416666667,0.45,0.323529412,0.3125,0.62567402,1.2,17.8,,,,,,,,,,,0.86,0.096,0.122,0.003297297,0.002594595,0.005891892,1.270833333
192,W,Mo17,HAY,Native,G,Y,1/24/2020,2/24/2020,middle,8.5,20.5,34.5,36.25,1.416666667,1.576923077,1.725,1.342592593,1.515295584,11.7,7.5,,,,,,2.01,0.305,0.00983871,0.288,0.009290323,,,,0.00983871,0.009290323,0.019129033,1.059027765
193,D,Mo17,Control,Control,G,Y,1/27/2020,2/24/2020,middle,6.5,14.5,19,28.5,2.166666667,1.45,1.117647059,1.1875,1.480453431,11.5,12.5,,,,,,,0.166,0.005928571,0.137,0.004892857,,,,0.005928571,0.004892857,0.010821428,1.21167878
194,W,B73,KNZ,Native,G,Y,1/24/2020,3/4/2020,late,8,18.25,29,30,1.333333333,1.403846154,1.45,1.111111111,1.32457265,15.9,9.9,,,,,,,,,,,1.76,0.402,0.333,0.008325,0.01005,0.018375,0.828358209
195,D,Mo17,TLI,Agriculture,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
196,W,Mo17,TLI,Agriculture,G,Y,1/29/2020,3/4/2020,late,3.75,15.25,26,27.75,3.75,1.90625,1.733333333,1.261363636,2.162736742,6.6,11.6,,,,,,,,,,,2.27,0.399,0.39204375,0.01120125,0.0114,0.02260125,0.98256579
197,D,B73,SVR,Agriculture,H,Y,1/24/2020,3/4/2020,late,10.75,20.5,22.5,26.5,1.791666667,1.576923077,1.125,0.981481481,1.368767806,3.8,12.6,,,,,,,,,,,1.36,0.259,0.23,0.00575,0.006475,0.012225,0.888030888
198,W,B73,SVR,Agriculture,H,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
199,D,Mo17,SVR,Agriculture,H,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
200,W,Mo17,SVR,Agriculture,H,Y,1/27/2020,2/24/2020,middle,8,22,33.5,35.75,2.666666667,2.2,1.970588235,1.489583333,2.081709559,14.4,10.2,,,,,,2.22,0.406,0.0145,0.335,0.011964286,,,,0.0145,0.011964286,0.026464286,1.21194027
201,D,B73,SVR,Native,H,Y,1/24/2020,3/4/2020,late,8,15.25,19,26.25,1.333333333,1.173076923,0.95,0.972222222,1.10715812,1.6,13.2,,,,,,,,,,,0.84,0.219,0.145073458,0.003626836,0.005475,0.009101836,0.662435882
202,W,B73,SVR,Native,H,Y,1/24/2020,2/24/2020,middle,10,23.75,38,39.25,1.666666667,1.826923077,1.9,1.453703704,1.711823362,26,8.4,,,,,,1.81,0.34322125,0.011071653,0.399,0.012870968,,,,0.011071653,0.012870968,0.023942621,0.860203599
203,D,Mo17,SVR,Native,H,Y,1/24/2020,2/24/2020,middle,11.25,16,19.25,24.5,1.875,1.230769231,0.9625,0.907407407,1.24391916,21.6,17.2,,,,,,1.12,0.208,0.006709677,0.104,0.003354839,,,,0.006709677,0.003354839,0.010064516,1.999999702
204,W,Mo17,SVR,Native,H,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
205,D,B73,TLI,Agriculture,H,Y,1/27/2020,2/10/2020,early,8.25,11,,,2.75,1.1,,,1.925,1.1,,1.07,0.256586,0.018327571,0.05,0.003571429,,,,,,,,,0.018327571,0.003571429,0.021899,5.131719264
206,W,B73,TLI,Agriculture,H,Y,1/24/2020,3/4/2020,late,9.25,22,32.25,39.5,1.541666667,1.692307692,1.6125,1.462962963,1.57735933,22.1,11.4,,,,,,,,,,,1.53,0.454,0.235,0.005875,0.01135,0.017225,0.517621145
207,D,Mo17,TLI,Agriculture,H,Y,1/27/2020,2/24/2020,middle,4.75,9.25,17.75,30,1.583333333,0.925,1.044117647,1.25,1.200612745,11.6,7.4,,,,,,1.23,0.23323875,0.008329955,0.132,0.004714286,,,,0.008329955,0.004714286,0.013044241,1.766960044
208,W,Mo17,TLI,Agriculture,H,Y,1/27/2020,2/10/2020,early,6.5,21,,,2.166666667,2.1,,,2.133333333,7.8,,1.73,0.23,0.016428571,0.1,0.007142857,,,,,,,,,0.016428571,0.007142857,0.023571428,2.299999986
209,D,B73,TLI,Native,H,Y,1/24/2020,2/24/2020,middle,10.25,15.25,21.5,28.5,1.708333333,1.173076923,1.075,1.055555556,1.252991453,2,8.8,,,,,,1.19,0.291,0.009387097,0.159,0.005129032,,,,0.009387097,0.005129032,0.014516129,1.830188815
210,W,B73,TLI,Native,H,Y,1/24/2020,2/10/2020,early,9,21,,,1.5,1.615384615,,,1.557692308,3.8,,1.27,0.13,0.007647059,0.09,0.005294118,,,,,,,,,0.007647059,0.005294118,0.012941177,1.444444381
211,D,Mo17,TLI,Native,H,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
212,W,Mo17,TLI,Native,H,Y,1/27/2020,3/4/2020,late,5.5,18.25,27.5,37.25,1.833333333,1.825,1.617647059,1.552083333,1.707015931,4.3,6.9,,,,,,,,,,,2.51,0.381,0.43349331,0.011716035,0.010297297,0.022013333,1.137777715
213,D,B73,KNZ,Native,H,Y,1/27/2020,3/4/2020,late,8.5,11.25,15,25,2.833333333,1.125,0.882352941,1.041666667,1.470588235,9,9.7,,,,,,,,,,,1.37,0.303,0.235,0.006351351,0.008189189,0.014540541,0.775577558
214,W,B73,KNZ,Native,H,Y,1/24/2020,2/24/2020,middle,9.25,23,35,39.75,1.541666667,1.769230769,1.75,1.472222222,1.633279915,25.8,14.2,,,,,,1.45,0.253,0.00816129,0.377,0.01216129,,,,0.00816129,0.01216129,0.02032258,0.671087524
215,D,Mo17,KNZ,Native,H,Y,1/29/2020,3/4/2020,late,3,6.75,14.75,15.5,3,0.84375,0.983333333,0.704545455,1.382907197,6.2,5.1,,,,,,,,,,,0.71,0.126,0.18,0.005142857,0.0036,0.008742857,1.428571429
216,W,Mo17,KNZ,Native,H,Y,1/27/2020,2/10/2020,early,6.75,20.25,,,2.25,2.025,,,2.1375,7.7,,1.66,0.24,0.017142857,0.09,0.006428571,,,,,,,,,0.017142857,0.006428571,0.023571428,2.666666822
217,D,B73,HAY,Native,H,Y,1/24/2020,2/10/2020,early,9.5,17,,,1.583333333,1.307692308,,,1.445512821,5.1,,0.87,0.208626,0.012272118,0.07,0.004117647,,,,,,,,,0.012272118,0.004117647,0.016389765,2.980371557
218,W,B73,HAY,Native,H,N,1/31/2020,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,
219,D,Mo17,HAY,Native,H,Y,1/29/2020,3/4/2020,late,2,8.75,9.5,10,2,1.09375,0.633333333,0.454545455,1.045407197,12,6.3,,,,,,,,,,,1.5,0.072,0.167,0.004771429,0.002057143,0.006828571,2.319444444
220,W,Mo17,HAY,Native,H,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
221,D,Mo17,SVR,Agriculture,H,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
222,W,Mo17,SVR,Native,H,Y,1/27/2020,3/4/2020,late,7.25,20.25,24.5,32,2.416666667,2.025,1.441176471,1.333333333,1.804044118,12.6,12.8,,,,,,,,,,,1.79,0.435,0.249,0.00672973,0.011756757,0.018486486,0.572413793
223,D,Mo17,SVR,Agriculture,H,Y,1/27/2020,2/24/2020,middle,6.25,9.5,18.75,28.5,2.083333333,0.95,1.102941176,1.1875,1.330943627,9.6,10.6,,,,,,1.31,0.203,0.00725,0.14,0.005,,,,0.00725,0.005,0.01225,1.45
224,W,Mo17,Control,Control,H,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
225,D,B73,SVR,Agriculture,I,Y,1/24/2020,2/24/2020,middle,9.5,17.25,20.5,29.5,1.583333333,1.326923077,1.025,1.092592593,1.256962251,7.3,12,,,,,,1.07,0.199,0.006419355,0.163,0.005258065,,,,0.006419355,0.005258065,0.01167742,1.220858814
226,W,B73,SVR,Agriculture,I,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
227,D,Mo17,SVR,Agriculture,I,Y,1/29/2020,2/24/2020,middle,4,10.5,16.75,20.25,4,1.3125,1.116666667,0.920454545,1.837405303,7.7,5.2,,,,,,0.81,0.15359625,0.005907548,0.067,0.002576923,,,,0.005907548,0.002576923,0.008484471,2.292481382
228,W,Mo17,SVR,Agriculture,I,Y,1/27/2020,3/4/2020,late,5,20.25,31,35,1.666666667,2.025,1.823529412,1.458333333,1.743382353,9,7.2,,,,,,,,,,,2.02,0.369,0.348867126,0.009428841,0.009972973,0.019401814,0.945439365
229,D,B73,SVR,Native,I,Y,1/24/2020,2/24/2020,middle,11.5,19.5,23.25,34.25,1.916666667,1.5,1.1625,1.268518519,1.461921296,4.9,9.5,,,,,,1.27,0.263,0.008483871,0.179,0.005774194,,,,0.008483871,0.005774194,0.014258065,1.469273634
230,W,B73,SVR,Native,I,Y,1/27/2020,3/4/2020,late,8,22,35,37,2.666666667,2.2,2.058823529,1.541666667,2.116789216,31,18,,,,,,,,,,,1.62,0.587,0.266,0.007189189,0.015864865,0.023054054,0.453151618
231,D,Mo17,SVR,Native,I,Y,1/27/2020,3/4/2020,late,4.75,6.75,14.25,21,1.583333333,0.675,0.838235294,0.875,0.992892157,2.6,7.6,,,,,,,,,,,1.5,0.245,0.259059747,0.007001615,0.006621622,0.013623236,1.057386721
232,W,Mo17,SVR,Native,I,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
233,D,B73,TLI,Agriculture,I,Y,1/29/2020,2/24/2020,middle,4.25,11.5,22,27,4.25,1.4375,1.466666667,1.227272727,2.095359848,36.5,6.6,,,,,,1.35,0.318,0.012230769,0.163,0.006269231,,,,0.012230769,0.006269231,0.0185,1.950920137
234,W,B73,TLI,Agriculture,I,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
235,D,Mo17,TLI,Agriculture,I,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
236,W,Mo17,TLI,Agriculture,I,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
237,D,B73,TLI,Native,I,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
238,W,B73,TLI,Native,I,Y,1/27/2020,3/4/2020,late,8,19.25,30.75,32.5,2.666666667,1.925,1.808823529,1.354166667,1.938664216,23.3,14.5,,,,,,,,,,,1.16,0.387,0.161,0.004351351,0.010459459,0.014810811,0.416020672
239,D,Mo17,TLI,Native,I,Y,1/24/2020,2/10/2020,early,8,10,,,1.333333333,0.769230769,,,1.051282051,15.1,,1.12,0.268576,0.015798588,0.05,0.002941176,,,,,,,,,0.015798588,0.002941176,0.018739764,5.371520779
